asset,weight,mean_recovery,p10_recovery,p50_recovery,p90_recovery,mean_timing_years,p50_timing_years,mean_weighted_recovery_contribution
Primary Energy,0.249,0.8345991084338384,0.5292831382938041,0.8587241123134906,1.1,2.917233625990262,2.8766732942146436,0.20781517800002577
Onyx operating portfolios,0.211,0.9120278554260864,0.7265553255083739,0.9209389223698531,1.1,1.2912957843080226,1.2807103478686424,0.19243787749490424
RED-Rochester,0.22,0.8633712473045121,0.6120088923591847,0.8784698536641923,1.1,2.1686324909969024,2.1305988630495207,0.18994167440699267
Onyx development / platform value,0.113,0.7816760741883936,0.4564761675390452,0.7987077496031241,1.1,2.078828890423089,2.0577267479191694,0.08832939638328847
Driva / Värtan Gas,0.088,0.9455078027699244,0.8103991384687574,0.9497451281097503,1.0883758844576317,1.3325204373578,1.3131229796091421,0.08320468664375334
Oliva Spanish Cogeneration,0.069,0.8962778298974636,0.734607666308598,0.8996037072337947,1.0643928476978495,1.3332691846917828,1.312302074512172,0.061843170262925
Zood / EV Networks,0.028,0.721404725806765,0.33177185285181554,0.7407256073161703,1.1,1.581696538770168,1.56429299450055,0.02019933232258942
Other residual / legacy,0.013,0.5857620785769583,0.1106201152650276,0.5919084847062697,1.0725535477364174,2.6728432250868965,2.638765788274143,0.007614907021500457
Huntsman Energy Centre,0.009,0.5138320696714991,0.03481384148730418,0.508581247819766,0.9807805516999032,2.1219155970863564,2.0945129810551375,0.004624488627043491
